src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.120.11,0.00030921459492888067,0.0003278688524590164,0.0028596961572832885,0.05872336696078953,0.9704715219421102,0.35294117647058826,0.6470588235294118,0.0,0.6470588235294118,0.0,4.514644716018869e-05,0.0001277464382971488,3.8117956881577065e-07
192.168.121.58,0.0015460729746444033,0.002622950819672131,0.005719392314566577,0.13836985129487658,1.0,0.18461538461538463,0.8153846153846154,0.15384615384615385,0.0,0.0,0.00038800422554590076,0.0003038225635953864,6.1809733158741885e-06
192.168.121.34,0.007111935683364255,0.004918032786885246,0.0,0.42099101849232773,0.022451963241436924,1.0,0.0,0.0,0.0,0.0,0.00017535919174870344,0.0005973247252790819,3.0376667954188707e-05
192.168.119.50,0.00030921459492888067,0.0003278688524590164,0.01590705987488829,0.010944477093122424,0.9889064281329475,0.20994475138121546,0.7900552486187845,0.0,0.0,0.0,0.00014701980003777593,0.0003540401289949552,3.750554241410952e-05
192.168.121.24,0.00030921459492888067,0.0022950819672131148,0.009830205540661306,0.07132975043899324,0.9910359977324263,0.16071428571428573,0.8392857142857143,0.0,0.0,0.0,8.125483975593706e-05,0.00020565288687442475,1.036808427178896e-05
192.168.6.36,0.0,0.0,8.936550491510277e-05,0.4999467886979194,1.0,1.0,0.0,0.0,0.0,0.0,7.269903933897944e-08,2.5171711979733754e-07,0.0
192.168.2.111,0.0,0.0,0.005451295799821269,0.016024326147518895,1.0,0.0,1.0,0.0,0.0,0.0,9.925687492274889e-05,0.00027865085161565264,9.943048559034173e-05
192.168.121.6,0.004947433518862091,0.0006557377049180328,0.004378909740840035,0.05989996275208854,1.0,0.28,0.72,0.06,0.0,0.0,0.00042692278833605024,0.0004277932450955751,0.00024413382431972408
192.168.119.52,0.0,0.0003278688524590164,0.004468275245755138,0.039113437105805976,1.0,0.058823529411764705,0.9411764705882353,0.0,0.0,0.0,1.950345078777004e-05,5.9531098832070325e-05,3.3882628339179614e-08
192.168.119.51,0.0,0.0006557377049180328,0.007864164432529044,0.033605029843170146,1.0,0.06741573033707865,0.9325842696629213,0.0,0.0,0.0,0.00010174153216086621,0.0002046460183952354,8.825491958317737e-05
192.168.2.220,0.0,0.0003278688524590164,8.936550491510277e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0011267361153176347,0.0038252192110002393,0.00031752258082353693
