src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.120.72,0.0008438818565400844,0.0004553734061930783,0.020864381520119227,0.004901960784313725,0.7549019607843137,1.0,0.0,0.0,0.0,0.0,8.253395425352546e-06,9.565660729323356e-06,7.003031989634652e-07
192.168.6.19,0.0008438818565400844,0.0031876138433515485,0.030212708305107708,0.029914529914529916,0.9529914529914529,0.9188034188034188,0.0811965811965812,0.0,0.0,0.0,1.7175354299218254e-05,1.6844358893475153e-05,2.6299354848647685e-06
192.168.198.10,0.0004219409282700422,0.0004553734061930783,0.00013548299688389108,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.9244344256000086e-08,6.59700739953335e-08,0.0
192.168.2.221,0.0004219409282700422,0.0004553734061930783,0.014632163663460237,0.009259259259259259,1.0,0.0,1.0,0.0,0.0,0.0,0.0029925132145404514,0.0006062429899924497,0.00010241485372533649
192.168.121.8,0.0004219409282700422,0.0009107468123861566,0.00379352391274895,0.07142857142857142,1.0,0.0,1.0,0.0,0.0,0.0,1.937780767901404e-05,1.5568937462898705e-05,0.00031339337717569966
192.168.120.63,0.0008438818565400844,0.0004553734061930783,0.0151740956509958,0.006535947712418301,0.7320261437908496,1.0,0.0,0.0,0.0,0.0,6.354464585017803e-06,7.212728090156463e-06,7.182596912445796e-08
192.168.121.11,0.01181434599156118,0.004098360655737705,0.006096734859775098,0.2,1.0,0.5333333333333333,0.4666666666666667,0.28888888888888886,0.0,0.0,0.00010229343913220088,6.443077226877572e-05,1.6361955766551523e-05
192.168.147.158,0.0008438818565400844,0.0004553734061930783,0.0051483538815878605,0.02631578947368421,1.0,1.0,0.0,0.0,0.0,0.0,1.0377933516035893e-06,1.8031820225391157e-06,1.0121791175301903e-06
192.168.6.16,0.0004219409282700422,0.0004553734061930783,0.004877387887820078,0.027777777777777776,1.0,1.0,0.0,0.0,0.0,0.0,7.238581698187647e-07,1.583281775888004e-06,0.0
192.168.119.156,0.0004219409282700422,0.0009107468123861566,0.0008128979813033464,0.3333333333333333,1.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,9.645218615964717e-06,7.674518608123796e-06,0.0007115619196237238
192.168.120.60,0.0008438818565400844,0.0004553734061930783,0.020728898523235333,0.005,0.765,1.0,0.0,0.0,0.0,0.0,8.151662712993757e-06,9.43372058133269e-06,2.472608987109465e-07
